Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return
2023-01-11,17934.896484375,17934.896484375,17337.994140625,17446.359375,18372283782.0,0.014739190642966582,0.014631624443590197
2023-01-12,18869.587890625,19030.087890625,17995.203125,18117.59375,34971338710.0,0.0384741802328028,0.03775250146626369
2023-01-13,19909.57421875,19964.322265625,18753.1640625,18868.90625,29225029694.0,0.0414686690940953,0.0406318987835369
2023-01-14,20976.298828125,21075.142578125,19907.828125,19910.537109375,38967784639.0,0.05520356323647535,0.05373369925044005
2023-01-15,20880.798828125,20993.748046875,20606.986328125,20977.484375,19298407543.0,0.05358706597234986,0.05220059533926523
2023-01-16,21169.6328125,21360.875,20715.74609375,20882.224609375,26792494050.0,-0.004541048102913892,-0.0045513899823750705
2023-01-17,21161.51953125,21438.66015625,20978.533203125,21175.833984375,24999983362.0,0.014060253660339583,0.013962325159347786
2023-01-18,20688.78125,21564.501953125,20541.544921875,21161.05078125,30005625418.0,-0.000698116689803463,-0.0006983604867321607
2023-01-19,21086.79296875,21163.01171875,20685.380859375,20686.74609375,21152848261.0,-0.022414042308346205,-0.022669054731335916
2023-01-20,22676.552734375,22692.357421875,20919.126953125,21085.373046875,28799154319.0,0.019269678823265357,0.019086369691272045
2023-01-21,22777.625,23282.34765625,22511.833984375,22677.427734375,32442278429.0,0.07550517052559114,0.07279047726926682
2023-01-22,22720.416015625,23056.73046875,22387.900390625,22777.986328125,24746386230.0,0.004434303349033275,0.00442450079359096
2023-01-23,22934.431640625,23126.486328125,22654.3046875,22721.087890625,26518700512.0,-0.002497957311957122,-0.002501082412653503
2023-01-24,22636.46875,23134.01171875,22549.744140625,22929.626953125,26405069715.0,0.009178216443854526,0.009136352577425549
2023-01-25,23117.859375,23722.099609375,22406.076171875,22639.267578125,30685366709.0,-0.012663065805369689,-0.012743925771796318
2023-01-26,23032.77734375,23237.078125,22911.373046875,23108.955078125,26357839322.0,0.02074658547937447,0.020534306102351896
2023-01-27,23078.728515625,23417.720703125,22654.59375,23030.716796875,25383335641.0,-0.003385626091075844,-0.0033913702918987967
2023-01-28,23031.08984375,23165.896484375,22908.845703125,23079.96484375,14712928379.0,0.00213836361713593,0.0021360805717312286
2023-01-29,23774.56640625,23919.890625,22985.0703125,23031.44921875,27423687259.0,-0.0021020666768103435,-0.0021042791199796544
2023-01-30,22840.138671875,23789.34765625,22657.58203125,23774.6484375,27205595568.0,0.03226888641227843,0.031759181971521305
2023-01-31,23139.283203125,23225.021484375,22765.568359375,22840.796875,22837828665.0,-0.03927930059428453,-0.04007154762835511
2023-02-01,23723.76953125,23764.5390625,22877.75,23137.8359375,26683255504.0,0.01300475916517252,0.012920923345512826
2023-02-02,23471.87109375,24167.2109375,23468.595703125,23720.82421875,32066936882.0,0.025196318394890893,0.024884124392172628
2023-02-03,23449.322265625,23678.103515625,23279.955078125,23469.412109375,27083066007.0,-0.01059879315560508,-0.010655360415273443
2023-02-04,23331.84765625,23556.94921875,23291.794921875,23446.3203125,15639298538.0,-0.000983910324101167,-0.0009843946815997293
2023-02-05,22955.666015625,23423.435546875,22841.759765625,23332.248046875,19564262605.0,-0.004865252376688889,-0.004877126245601189
2023-02-06,22760.109375,23119.279296875,22692.025390625,22954.021484375,23825006542.0,-0.01621046380700797,-0.016343290789484193
2023-02-07,23264.291015625,23310.974609375,22756.2578125,22757.267578125,27187964471.0,-0.008571652962158782,-0.008608600867333489
2023-02-08,22939.3984375,23367.958984375,22731.09765625,23263.416015625,25371367758.0,0.02224117793414382,0.02199745017807189
2023-02-09,21819.0390625,22996.4375,21773.974609375,22946.56640625,32572572185.0,-0.013620080952951419,-0.01371368515851954
2023-02-10,21651.18359375,21941.185546875,21539.392578125,21819.005859375,27078406594.0,-0.04913853022332282,-0.050386895000374285
2023-02-11,21870.875,21891.41015625,21618.44921875,21651.841796875,16356226232.0,-0.0076613968380312425,-0.0076908961057743745
2023-02-12,21788.203125,22060.994140625,21682.828125,21870.90234375,17821046406.0,0.010117409360834051,0.010066570988936627
2023-02-13,21808.1015625,21898.4140625,21460.087890625,21787.0,23918742607.0,-0.0038362543269265803,-0.0038436316240597797
2023-02-14,22220.8046875,22293.140625,21632.39453125,21801.822265625,26792596581.0,0.0006803261405883276,0.0006800948236675632
2023-02-15,24307.841796875,24307.841796875,22082.76953125,22220.5859375,32483312909.0,0.01920773716861568,0.019025597220424136
2023-02-16,23623.474609375,25134.1171875,23602.5234375,24307.349609375,39316664596.0,0.09391128018606065,0.08975960398920729
2023-02-17,24565.6015625,24924.041015625,23460.755859375,23621.283203125,41358451255.0,-0.028224648810966757,-0.02863062140997348
2023-02-18,24641.27734375,24798.8359375,24468.373046875,24565.296875,19625427158.0,0.03996453807175526,0.03918661456400337
2023-02-19,24327.642578125,25093.0546875,24327.642578125,24640.02734375,25555105670.0,0.003042115433420811,0.003037497563291303
2023-02-20,24829.1484375,25020.458984375,23927.91015625,24336.623046875,28987376573.0,-0.012313472409841264,-0.01238991134518935
2023-02-21,24436.353515625,25126.8515625,24200.36328125,24833.048828125,31252098714.0,0.020398301781386463,0.020193043016578975
2023-02-22,24188.84375,24472.33984375,23644.318359375,24437.41796875,30199996781.0,-0.015931626523720377,-0.016059899103749536
2023-02-23,23947.4921875,24572.08984375,23693.919921875,24190.71875,30476264066.0,-0.010095142582799643,-0.01014644409073966
2023-02-24,23198.126953125,24103.705078125,23007.072265625,23946.0078125,26811744928.0,-0.010115901889025114,-0.010167415322211848
2023-02-25,23175.375,23210.2109375,22861.55859375,23200.125,16100721565.0,-0.03114852456160322,-0.03164395496072153
2023-02-26,23561.212890625,23654.3671875,23084.220703125,23174.150390625,16644534842.0,-0.0011195891994116858,-0.0011202164075867747
2023-02-27,23522.87109375,23857.890625,23205.87890625,23561.451171875,22660763494.0,0.01671262051560185,0.016574501436847782
2023-02-28,23147.353515625,23585.384765625,23077.650390625,23521.837890625,20535363434.0,-0.0016812751031772821,-0.0016826900323093762
2023-03-01,23646.55078125,23880.6328125,23088.626953125,23150.9296875,24662841200.0,-0.015768674405873373,-0.015894322572598055
2023-03-02,23475.466796875,23739.138671875,23245.021484375,23647.01953125,20386398516.0,0.021428506347106024,0.021202143934480975
2023-03-03,22362.6796875,23479.34765625,22213.23828125,23476.6328125,26062404610.0,-0.007205420476979363,-0.007231504894093288
2023-03-04,22353.349609375,22405.177734375,22198.98046875,22362.923828125,11166012913.0,-0.04743904261185239,-0.04860117677112041
2023-03-05,22435.513671875,22613.685546875,22307.142578125,22354.14453125,13317001733.0,-0.00039258269367969945,-0.0003926597744397629
2023-03-06,22429.7578125,22584.29296875,22331.314453125,22436.81640625,17353192895.0,0.0036982795241584654,0.003691457702601032
2023-03-07,22219.76953125,22527.41796875,22011.26171875,22428.322265625,22765452204.0,-0.00037858047555416885,-0.0003786521552339933
2023-03-08,21718.080078125,22268.896484375,21708.05078125,22216.44140625,22536575684.0,-0.009447022245606895,-0.009491928403689964
2023-03-09,20363.021484375,21802.716796875,20210.306640625,21720.080078125,30364664171.0,-0.02234207175886238,-0.022595436754536062
2023-03-10,20187.244140625,20370.595703125,19628.25390625,20367.001953125,39578257695.0,-0.06229618491889122,-0.06432114201294246
2023-03-11,20632.41015625,20792.525390625,20068.66015625,20187.876953125,30180288176.0,-0.008794863397777353,-0.00883376647499973
2023-03-12,22163.94921875,22185.03125,20448.806640625,20628.029296875,29279035521.0,0.021802804959234034,0.021568523026504246
2023-03-13,24197.533203125,24550.837890625,21918.19921875,22156.40625,49466362688.0,0.0740922427018531,0.07147587945804416
2023-03-14,24746.07421875,26514.716796875,24081.18359375,24201.765625,54622230164.0,0.09231458170252682,0.08829891431824219
2023-03-15,24375.9609375,25240.615234375,23964.91015625,24770.92578125,43655701450.0,0.02351729890574883,0.023245027691810867
2023-03-16,25052.7890625,25190.326171875,24225.111328125,24373.45703125,33866061747.0,-0.01604577695278786,-0.016175904305516162
2023-03-17,27423.9296875,27787.8125,24955.169921875,25055.123046875,50730261335.0,0.027967555638537922,0.02758360587202431
2023-03-18,26965.87890625,27725.953125,26636.26171875,27448.1171875,35723036817.0,0.09550917535499659,0.09121925551351445
